AspectRatio	Duration	Character
82,730	0,520	J
100,000	0,570	J
16,050	0,490	M
20,560	0,510	M
28,330	0,270	V
25,360	0,280	V
47,040	0,490	J
48,960	0,410	J
16,940	0,640	M
17,550	0,560	M
19,460	0,290	V
19,500	0,290	V
38,040	0,920	J
60,510	0,810	J
19,380	0,690	M
16,330	0,670	M
40,680	0,420	V
30,230	0,360	V
33,090	0,980	J
43,250	0,380	J
0,990	0,970	M
10,580	0,570	M
14,740	0,560	V
26,210	0,330	V
91,580	0,330	J
55,460	0,380	J
15,390	0,430	M
15,000	0,400	M
23,180	0,210	V
27,250	0,170	V
61,000	0,450	J
16,270	0,600	M
20,770	0,300	V
103,850	0,590	J
62,500	0,690	J
12,000	0,680	M
0,930	0,740	M
30,000	0,320	V
27,920	0,420	V
59,000	0,410	J
110,630	0,340	J
11,190	0,500	M
13,610	0,520	M
31,880	0,260	V
31,560	0,230	V
73,480	0,820	J
78,000	0,560	J
12,730	0,630	M
11,430	0,580	M
35,830	0,370	V
37,620	0,290	V
49,270	0,780	J
62,140	0,650	J
0,870	0,680	M
0,920	0,660	M
14,000	0,270	V
19,670	0,250	V
34,290	0,280	J
46,670	0,570	J
22,410	0,540	M
22,730	0,580	M
29,580	0,350	V
27,140	0,310	V
58,420	0,550	J
52,860	0,510	J
11,110	0,660	M
11,540	0,670	M
21,920	0,340	V
15,670	0,330	V
124,000	0,650	J
72,220	0,630	J
15,480	0,520	M
11,670	0,530	M
18,570	0,260	V
19,430	0,270	V
53,480	0,480	J
57,900	0,430	J
20,000	0,410	M
15,580	0,940	M
23,460	0,300	V
25,220	0,260	V
31,430	0,620	J
37,500	0,790	J
21,050	0,910	M
16,880	0,890	M
18,640	0,360	V
21,340	0,370	V
59,610	0,890	J
45,690	0,640	J
21,570	0,750	M
20,000	0,690	M
27,000	0,480	V
24,290	0,330	V
77,860	0,440	J
114,290	0,420	J
10,730	0,390	M
11,030	0,380	M
26,940	0,280	V
23,200	0,330	V
55,170	0,800	J
44,440	0,690	J
11,320	0,550	M
21,400	0,560	M
21,840	0,560	V
14,430	0,820	V
45,000	0,410	J
68,820	0,490	J
13,080	0,600	M
12,310	0,650	M
26,960	0,310	V
27,500	0,330	V
46,300	0,450	J
46,430	0,420	J
22,000	0,530	M
11,880	0,570	M
28,520	0,380	V
27,140	0,410	V
61,890	0,470	J
82,960	0,480	J
15,900	0,550	M
16,100	0,560	M
24,420	0,290	V
33,610	0,320	V
35,560	0,860	J
15,830	0,590	M
14,080	0,600	V
47,710	0,630	J
17,340	0,820	M
29,520	0,440	V
59,380	0,350	J
60,630	0,380	J
10,860	0,560	M
10,910	0,580	M
10,430	0,500	V
14,000	0,560	V
69,440	0,380	J
59,090	0,470	J
17,240	0,570	M
17,140	0,560	M
29,300	0,240	V
34,360	0,220	V
95,260	0,430	J
91,330	0,420	J
11,190	0,430	M
14,240	0,410	M
28,570	0,260	V
26,190	0,230	V
41,910	0,720	J
36,110	0,600	J
15,000	0,620	M
15,140	0,640	M
27,620	0,360	V
17,240	0,350	V
70,000	0,650	J
61,540	0,590	J
11,580	0,800	M
13,910	0,770	M
23,130	0,470	V
25,330	0,400	V
43,330	0,440	J
42,800	0,410	J
11,060	0,550	M
0,650	0,490	M
22,590	0,330	V
24,290	0,310	V
55,000	0,710	J
47,760	0,650	J
40,000	0,340	J
18,000	0,570	M
21,110	0,630	M
18,450	0,540	M
29,030	0,330	V
27,920	0,280	V
30,000	0,300	V
56,920	0,610	J
62,270	0,610	J
13,040	0,550	M
10,550	0,560	M
32,760	0,260	V
25,650	0,270	V
46,740	0,450	J
51,030	0,440	J
17,940	0,490	M
20,890	0,490	M
24,680	0,290	V
24,890	0,240	V
93,890	0,630	J
67,500	0,530	J
16,440	0,750	M
10,820	0,600	M
22,000	0,320	V
26,400	0,230	V
54,760	0,600	J
43,480	0,510	J
12,500	0,500	M
10,540	0,420	M
23,330	0,280	V
20,830	0,270	V
46,900	0,540	J
70,000	0,420	J
10,830	0,430	M
11,250	0,460	M
16,590	0,270	V
22,070	0,250	V
48,330	0,490	J
70,000	0,370	J
14,220	0,500	M
13,160	0,430	M
29,130	0,310	V
27,620	0,290	V
35,480	0,520	J
44,440	0,460	J
10,240	0,450	M
0,690	0,380	M
21,720	0,230	V
22,350	0,230	V
43,000	0,550	J
41,460	0,600	J
0,840	0,830	M
0,930	0,780	M
20,690	0,380	V
21,390	0,410	V
41,160	16,300	J
45,250	10,170	J
24,850	13,120	M
15,070	0,910	M
22,330	0,760	V
19,810	0,590	V
55,240	0,520	J
34,820	0,300	J
19,410	0,550	M
19,660	0,620	M
32,330	0,480	V
26,770	0,870	V
55,500	0,680	J
82,920	0,510	J
14,060	0,610	M
14,670	0,530	M
48,330	0,290	V
50,390	0,280	V
50,670	0,430	J
65,390	0,290	J
15,950	0,840	M
12,860	0,650	M
34,550	0,370	V
32,000	0,380	V
70,910	0,520	J
58,240	0,510	J
33,500	0,480	M
29,330	0,490	M
32,220	0,270	V
32,580	0,240	V
75,000	0,570	J
74,440	0,530	J
29,200	0,630	M
18,940	0,590	M
23,530	0,330	V
25,310	0,330	V
85,560	0,450	J
70,870	0,410	J
12,080	0,540	M
11,480	0,550	M
17,840	0,260	V
20,000	0,270	V
66,360	0,480	J
42,500	0,500	J
13,210	0,530	M
11,040	0,580	M
25,000	0,260	V
20,610	0,300	V
40,390	0,540	J
79,520	0,350	J
15,600	0,650	M
18,640	0,630	M
24,580	0,410	V
26,910	0,360	V
86,840	0,550	J
63,160	0,560	J
0,800	0,570	M
0,580	0,590	M
23,930	0,410	V
24,620	0,380	V
49,170	0,490	J
58,240	0,510	J
0,710	0,450	M
0,920	0,490	M
12,780	0,600	V
16,670	0,350	V
55,830	0,580	J
58,100	0,580	J
15,000	0,540	M
10,220	0,500	M
23,850	0,290	V
23,910	0,300	V
54,750	0,580	J
54,710	0,480	J
17,260	0,630	M
15,710	0,610	M
19,310	0,410	V
21,630	0,340	V
40,810	0,430	J
45,000	0,390	J
15,750	0,720	M
16,440	0,550	M
27,220	0,230	V
23,210	0,270	V
37,370	0,310	J
26,520	0,250	J
17,360	0,590	M
21,960	0,550	M
29,000	0,260	V
19,460	0,240	V
57,780	0,530	J
46,670	0,530	J
18,620	0,650	M
14,570	0,630	M
30,000	0,360	V
29,050	0,340	V
85,000	0,390	J
115,390	0,350	J
29,460	0,730	M
25,260	0,580	M
42,500	0,340	V
34,350	0,270	V
39,290	0,390	J
75,000	0,510	J
15,420	0,510	M
12,590	0,490	M
21,200	0,370	V
39,230	0,410	V
32,650	0,660	J
44,440	0,480	J
14,360	0,600	M
13,820	0,470	M
19,390	0,300	V
18,100	0,280	V
51,540	0,450	J
30,780	11,220	J
20,000	0,520	M
11,890	0,780	M
25,460	0,310	V
17,870	0,580	V
84,740	0,400	J
75,650	0,360	J
16,880	0,510	M
12,830	0,470	M
26,190	0,290	V
27,880	0,260	V
